Mission Summary
Mission Time (s),1415.8364825248718
Travel Distance (m),282.84331182513245
Total Tree,31
Inspected Tree,17
Validated Tree,0
Coverage (%),54.83870967741935

Trajectory
Index,X,Y
0,-0.009078041650354862,0.0
1,-0.009078041650354862,0.0
2,-0.009078041650354862,0.0
3,-0.009078041650354862,0.0
4,-0.009078041650354862,0.0
5,-0.009078041650354862,0.0
6,-0.009078041650354862,0.0
7,-0.009078041650354862,0.0
8,-0.009078041650354862,0.0
9,-0.009078041650354862,0.0
10,-0.009078041650354862,0.0
11,-0.009078041650354862,0.0
12,-0.009078041650354862,0.0
13,-0.009078041650354862,0.0
14,-0.009078041650354862,0.0
15,-0.009078041650354862,0.0
16,-0.009078041650354862,0.0
17,-0.009078041650354862,0.0
18,-0.009078041650354862,0.0
19,-0.009078041650354862,0.0
20,-0.009078041650354862,0.0
21,-0.009078041650354862,0.0
22,-0.009078041650354862,0.0
23,-0.009078041650354862,0.0
24,-0.018156083300709724,0.0
25,-0.018156083300709724,0.0
26,-0.018156083300709724,0.0
27,-0.018156083300709724,0.0
28,-0.018156083300709724,0.0
29,-0.018156083300709724,0.0
30,-0.018156083300709724,0.0
31,-0.018156083300709724,0.0
32,-0.018156083300709724,0.0
33,-0.018156083300709724,0.0
34,-0.018156083300709724,0.0
35,-0.018156083300709724,0.0
36,-0.018156083300709724,0.0
37,-0.018156083300709724,0.0
38,-0.018156083300709724,0.0
39,-0.018156083300709724,0.0
40,-0.018156083300709724,0.0
41,-0.018156083300709724,0.0
42,-0.018156083300709724,0.0
43,-0.018156083300709724,0.0
44,-0.018156083300709724,0.0
45,-0.018156083300709724,0.0
46,-0.018156083300709724,0.0
47,-0.018156083300709724,0.0
48,-0.018156083300709724,0.0
49,-0.018156083300709724,0.0
50,-0.018156083300709724,0.0
51,-0.018156083300709724,0.0
52,-0.018156083300709724,0.0
53,-0.018156083300709724,0.0
54,-0.018156083300709724,0.0
55,-0.018156083300709724,0.0
56,-0.018156083300709724,0.0
57,-0.018156083300709724,0.0
58,-0.018156083300709724,0.0
59,-0.018156083300709724,0.0
60,-0.018156083300709724,0.0
61,-0.018156083300709724,0.0
62,-0.018156083300709724,0.0
63,-0.018156083300709724,0.0
64,-0.018156083300709724,0.0
65,-0.018156083300709724,0.0
66,-0.018156083300709724,0.0
67,-0.018156083300709724,0.0
68,-0.018156083300709724,0.0
69,-0.018156083300709724,0.0
70,-0.03631216660141945,0.0
71,-0.03631216660141945,0.0
72,-0.03631216660141945,0.0
73,-0.03631216660141945,0.0
74,-0.03631216660141945,0.0
75,-0.03631216660141945,0.0
76,-0.03631216660141945,0.0
77,-0.03631216660141945,0.0
78,-0.03631216660141945,0.0
79,-0.03631216660141945,0.0
80,-0.03631216660141945,0.0
81,-0.03631216660141945,0.0
82,-0.03631216660141945,0.0
83,-0.03631216660141945,0.0
84,-0.03631216660141945,0.0
85,-0.03631216660141945,0.0
86,-0.03631216660141945,0.0
87,-0.03631216660141945,0.0
88,-0.03631216660141945,0.0
89,-0.03631216660141945,0.0
90,-0.03631216660141945,0.0
91,-0.03631216660141945,0.0
92,-0.03631216660141945,0.0
93,-0.03631216660141945,0.0
94,-0.03631216660141945,0.0
95,-0.03631216660141945,0.0
96,-0.03631216660141945,0.0
97,-0.03631216660141945,0.0
98,-0.03631216660141945,0.0
99,-0.03631216660141945,0.0
100,-0.03631216660141945,0.0
101,-0.03631216660141945,0.0
102,-0.03631216660141945,0.0
103,-0.03631216660141945,0.0
104,-0.03631216660141945,0.0
105,-0.03631216660141945,0.0
106,-0.03631216660141945,0.0
107,-0.03631216660141945,0.0
108,-0.03631216660141945,0.0
109,-0.03631216660141945,0.0
110,-0.03631216660141945,0.0
111,-0.03631216660141945,0.0
112,-0.03631216660141945,0.0
113,-0.03631216660141945,0.0
114,-0.03631216660141945,0.0
115,-0.03631216660141945,0.0
116,-0.03631216660141945,0.0
117,-0.03631216660141945,0.0
118,-0.03631216660141945,0.0
119,-0.03631216660141945,0.0
120,-0.03631216660141945,0.0
121,-0.03631216660141945,0.0
122,-0.03631216660141945,0.0
123,-0.03631216660141945,0.0
124,-0.03631216660141945,0.0
125,-0.03631216660141945,0.0
126,-0.03631216660141945,0.0
127,-0.03631216660141945,0.0
128,-0.03631216660141945,0.0
129,-0.03631216660141945,0.0
130,-0.03631216660141945,0.0
131,-0.03631216660141945,0.0
132,-0.03631216660141945,0.0
133,-0.03631216660141945,0.0
134,-0.009078041650354862,-0.011131884530186653
135,-0.009078041650354862,-0.011131884530186653
136,0.009078041650354862,-0.055659420788288116
137,0.009078041650354862,-0.055659420788288116
138,0.045390207320451736,-0.07792319357395172
139,0.045390207320451736,-0.07792319357395172
140,0.045390207320451736,-0.07792319357395172
141,0.045390207320451736,-0.07792319357395172
142,0.03631216660141945,-0.07792319357395172
143,0.03631216660141945,-0.07792319357395172
144,0.027234124019742012,-0.06679131090641022
145,0.027234124019742012,-0.06679131090641022
146,0.009078041650354862,-0.04452753812074661
147,0.009078041650354862,-0.04452753812074661
148,-0.018156083300709724,-0.011131884530186653
149,-0.018156083300709724,-0.011131884530186653
150,-0.045390207320451736,0.011131884530186653
151,-0.045390207320451736,0.011131884530186653
152,-0.08170237392187119,0.04452753812074661
153,-0.08170237392187119,0.04452753812074661
154,-0.08170237392187119,0.055659420788288116
155,-0.08170237392187119,0.055659420788288116
156,-0.09078041464090347,0.055659420788288116
157,-0.09078041464090347,0.055659420788288116
158,-0.08170237392187119,0.06679131090641022
159,-0.08170237392187119,0.06679131090641022
160,-0.03631216660141945,0.06679131090641022
161,-0.03631216660141945,0.06679131090641022
162,0.09985845535993576,0.055659420788288116
163,0.09985845535993576,0.055659420788288116
164,0.26326319575309753,0.011131884530186653
165,0.26326319575309753,0.011131884530186653
166,0.4448240399360657,-0.011131884530186653
167,0.4448240399360657,-0.011131884530186653
168,0.5900726914405823,-0.011131884530186653
169,0.5900726914405823,-0.011131884530186653
170,0.6990091800689697,-0.011131884530186653
171,0.6990091800689697,-0.011131884530186653
172,0.817023754119873,0.011131884530186653
173,0.817023754119873,0.011131884530186653
174,0.9078041315078735,0.04452753812074661
175,0.9078041315078735,0.04452753812074661
176,1.0076626539230347,0.055659420788288116
177,1.0076626539230347,0.055659420788288116
178,1.0984430313110352,0.055659420788288116
179,1.0984430313110352,0.055659420788288116
180,1.2073794603347778,0.055659420788288116
181,1.2073794603347778,0.055659420788288116
182,1.31631600856781,0.055659420788288116
183,1.31631600856781,0.055659420788288116
184,1.4434086084365845,0.055659420788288116
185,1.4434086084365845,0.055659420788288116
186,1.5705012083053589,0.055659420788288116
187,1.5705012083053589,0.055659420788288116
188,1.6975938081741333,0.055659420788288116
189,1.6975938081741333,0.055659420788288116
190,1.8337643146514893,0.055659420788288116
191,1.8337643146514893,0.055659420788288116
192,1.9608569145202637,0.055659420788288116
193,1.9608569145202637,0.055659420788288116
194,2.087949514389038,0.04452753812074661
195,2.087949514389038,0.04452753812074661
196,2.2241201400756836,0.04452753812074661
197,2.2241201400756836,0.04452753812074661
198,2.342134714126587,0.04452753812074661
199,2.342134714126587,0.04452753812074661
200,2.4692273139953613,0.022263769060373306
201,2.4692273139953613,0.022263769060373306
202,2.5781638622283936,0.022263769060373306
203,2.5781638622283936,0.022263769060373306
204,2.705256462097168,0.022263769060373306
205,2.705256462097168,0.022263769060373306
206,2.8323488235473633,0.022263769060373306
207,2.8323488235473633,0.022263769060373306
208,2.9503633975982666,0.022263769060373306
209,2.9503633975982666,0.022263769060373306
210,3.077455997467041,0.022263769060373306
211,3.077455997467041,0.022263769060373306
212,3.2045485973358154,0.022263769060373306
213,3.2045485973358154,0.022263769060373306
214,3.33164119720459,0.011131884530186653
215,3.33164119720459,0.011131884530186653
216,3.440577745437622,0.011131884530186653
217,3.440577745437622,0.011131884530186653
218,3.5676703453063965,0.011131884530186653
219,3.5676703453063965,0.011131884530186653
220,3.694762945175171,0.011131884530186653
221,3.694762945175171,0.011131884530186653
222,3.8218555450439453,0.011131884530186653
223,3.8218555450439453,0.011131884530186653
224,3.9489481449127197,0.011131884530186653
225,3.9489481449127197,0.011131884530186653
226,4.066962718963623,0.011131884530186653
227,4.066962718963623,0.011131884530186653
228,4.184977054595947,0.0
229,4.184977054595947,0.0
230,4.312069892883301,0.0
231,4.312069892883301,0.0
232,4.439162254333496,0.0
233,4.439162254333496,0.0
234,4.566254615783691,-0.011131884530186653
235,4.566254615783691,-0.011131884530186653
236,4.702425479888916,-0.011131884530186653
237,4.702425479888916,-0.011131884530186653
238,4.82043981552124,-0.011131884530186653
239,4.82043981552124,-0.011131884530186653
240,4.911220550537109,-0.011131884530186653
241,4.911220550537109,-0.011131884530186653
242,4.9202985763549805,-0.022263769060373306
243,4.9202985763549805,-0.022263769060373306
244,4.911220550537109,-0.011131884530186653
245,4.911220550537109,-0.011131884530186653
246,4.893064498901367,-0.022263769060373306
247,4.893064498901367,-0.022263769060373306
248,4.902142524719238,-0.12245073169469833
249,4.902142524719238,-0.12245073169469833
250,4.947532653808594,-0.26716524362564087
251,4.947532653808594,-0.26716524362564087
252,5.00200080871582,-0.4230116009712219
253,5.00200080871582,-0.4230116009712219
254,5.074625015258789,-0.5677261352539062
255,5.074625015258789,-0.5677261352539062
256,5.156327724456787,-0.6901768445968628
257,5.156327724456787,-0.6901768445968628
258,5.219873428344727,-0.8126275539398193
259,5.219873428344727,-0.8126275539398193
260,5.3106536865234375,-0.8905507326126099
261,5.3106536865234375,-0.8905507326126099
262,5.3923563957214355,-0.9573420882225037
263,5.3923563957214355,-0.9573420882225037
264,5.474058628082275,-1.0352652072906494
265,5.474058628082275,-1.0352652072906494
266,5.564838886260986,-1.102056622505188
267,5.564838886260986,-1.102056622505188
268,5.6556196212768555,-1.168847918510437
269,5.6556196212768555,-1.168847918510437
270,5.746399879455566,-1.235639214515686
271,5.746399879455566,-1.235639214515686
272,5.837180137634277,-1.302430510520935
273,5.837180137634277,-1.302430510520935
274,5.95519495010376,-1.369221806526184
275,5.95519495010376,-1.369221806526184
276,6.055053234100342,-1.41374933719635
277,6.055053234100342,-1.41374933719635
278,6.182145595550537,-1.4694087505340576
279,6.182145595550537,-1.4694087505340576
280,6.291082382202148,-1.5028043985366821
281,6.291082382202148,-1.5028043985366821
282,6.418174743652344,-1.5473319292068481
283,6.418174743652344,-1.5473319292068481
284,6.527111530303955,-1.5695956945419312
285,6.527111530303955,-1.5695956945419312
286,6.65420389175415,-1.6029913425445557
287,6.65420389175415,-1.6029913425445557
288,6.7631402015686035,-1.6252551078796387
289,6.7631402015686035,-1.6252551078796387
290,6.872076988220215,-1.6363869905471802
291,6.872076988220215,-1.6363869905471802
292,6.99916934967041,-1.6475188732147217
293,6.99916934967041,-1.6475188732147217
294,7.126262187957764,-1.6475188732147217
295,7.126262187957764,-1.6475188732147217
296,7.244276523590088,-1.6475188732147217
297,7.244276523590088,-1.6475188732147217
298,7.353212833404541,-1.6363869905471802
299,7.353212833404541,-1.6363869905471802
300,7.4803056716918945,-1.6141232252120972
301,7.4803056716918945,-1.6141232252120972
302,7.60739803314209,-1.5695956945419312
303,7.60739803314209,-1.5695956945419312
304,7.70725679397583,-1.5028043985366821
305,7.70725679397583,-1.5028043985366821
306,7.825271129608154,-1.436013102531433
307,7.825271129608154,-1.436013102531433
308,7.925129413604736,-1.369221806526184
309,7.925129413604736,-1.369221806526184
310,8.024988174438477,-1.2912986278533936
311,8.024988174438477,-1.2912986278533936
312,8.115768432617188,-1.2022435665130615
313,8.115768432617188,-1.2022435665130615
314,8.197470664978027,-1.0909247398376465
315,8.197470664978027,-1.0909247398376465
316,8.261016845703125,-1.001869559288025
317,8.261016845703125,-1.001869559288025
318,8.315485000610352,-0.8905507326126099
319,8.315485000610352,-0.8905507326126099
320,8.379032135009766,-0.7681000232696533
321,8.379032135009766,-0.7681000232696533
322,8.41534423828125,-0.6679130792617798
323,8.41534423828125,-0.6679130792617798
324,8.442578315734863,-0.5565942525863647
325,8.442578315734863,-0.5565942525863647
326,8.478890419006348,-0.4230116009712219
327,8.478890419006348,-0.4230116009712219
328,8.487968444824219,-0.3228246569633484
329,8.487968444824219,-0.3228246569633484
330,8.515202522277832,-0.20037391781806946
331,8.515202522277832,-0.20037391781806946
332,8.515202522277832,-0.07792319357395172
333,8.515202522277832,-0.07792319357395172
334,8.506124496459961,0.055659420788288116
335,8.506124496459961,0.055659420788288116
336,8.487968444824219,0.17811015248298645
337,8.487968444824219,0.17811015248298645
338,8.469812393188477,0.2782971262931824
339,8.469812393188477,0.2782971262931824
340,8.433500289916992,0.4007478356361389
341,8.433500289916992,0.4007478356361389
342,8.388110160827637,0.5231985449790955
343,8.388110160827637,0.5231985449790955
344,8.315485954284668,0.6233855485916138
345,8.315485954284668,0.6233855485916138
346,8.261018753051758,0.7347043752670288
