Mission Summary
Mission Time (s),165.91641092300415
Travel Distance (m),24.92659702552853
Total Tree,1
Inspected Tree,1
Validated Tree,0
Coverage (%),100.0

Trajectory
Index,X,Y
0,-0.018156083300709724,0.0
1,-0.018156083300709724,0.0
2,-0.018156083300709724,0.0
3,-0.018156083300709724,0.0
4,-0.018156083300709724,0.0
5,-0.018156083300709724,0.0
6,-0.018156083300709724,0.0
7,-0.018156083300709724,0.0
8,-0.018156083300709724,0.0
9,-0.018156083300709724,0.0
10,-0.018156083300709724,0.0
11,-0.018156083300709724,0.0
12,-0.018156083300709724,0.0
13,-0.018156083300709724,0.0
14,-0.03631216660141945,0.0
15,-0.03631216660141945,0.0
16,-0.03631216660141945,0.0
17,-0.03631216660141945,0.0
18,-0.03631216660141945,0.0
19,-0.03631216660141945,0.0
20,-0.03631216660141945,0.0
21,-0.03631216660141945,0.0
22,-0.03631216660141945,0.0
23,-0.03631216660141945,0.0
24,-0.03631216660141945,0.0
25,-0.03631216660141945,0.0
26,-0.03631216660141945,0.0
27,-0.03631216660141945,0.0
28,-0.03631216660141945,0.0
29,-0.03631216660141945,0.0
30,-0.03631216660141945,0.0
31,-0.03631216660141945,0.0
32,-0.03631216660141945,0.0
33,-0.03631216660141945,0.0
34,-0.03631216660141945,0.0
35,-0.03631216660141945,0.0
36,-0.03631216660141945,0.0
37,-0.03631216660141945,0.0
38,-0.03631216660141945,0.0
39,-0.03631216660141945,0.0
40,-0.03631216660141945,0.0
41,-0.03631216660141945,0.0
42,-0.03631216660141945,0.0
43,-0.03631216660141945,0.0
44,-0.03631216660141945,0.0
45,-0.03631216660141945,0.0
46,-0.03631216660141945,0.0
47,-0.03631216660141945,0.0
48,-0.03631216660141945,0.0
49,-0.03631216660141945,0.0
50,-0.03631216660141945,0.0
51,0.0,0.0
52,0.027234124019742012,0.0
53,0.045390207320451736,0.0
54,0.045390207320451736,0.0
55,0.045390207320451736,0.0
56,0.027234124019742012,0.0
57,-0.009078041650354862,0.0
58,-0.03631216660141945,0.0
59,-0.0726243332028389,0.0
60,-0.08170237392187119,0.0
61,-0.054468248039484024,0.0
62,0.009078041650354862,0.0
63,0.09078041464090347,0.0
64,0.18156082928180695,0.0
65,0.26326319575309753,0.0
66,0.31773144006729126,0.0
67,0.3631216585636139,0.0
68,0.39943382143974304,0.0
69,0.4448240399360657,0.0
70,0.4811362028121948,0.0
71,0.5265263915061951,0.0
72,0.5900726914405823,0.0
73,0.6445409655570984,0.0
74,0.6990091800689697,0.0
75,0.771633505821228,0.0
76,0.8351798057556152,0.0
